"TIME_IN","COUNTRY","CITY","ADDRESS_CLEAN","LAT","LNG"
"2015-07-06 12:32:22","中国","北京","中国%20北京",39.9299857780802,116.395645037879
"2015-07-06 16:39:23","中国","南京市","中国%20南京市",32.0572355018059,118.778074408026
"2015-07-08 08:11:15","美国","纽约市","美国%20纽约市",22.5536733159771,114.139447249982
"2015-07-08 15:16:47","美国","芝加哥","美国%20芝加哥",40.6835116151438,122.261387331503
"2015-07-09 10:12:40","中国","北京市","中国%20北京市",39.9299857780802,116.395645037879
"2015-07-10 11:01:22","美国","教堂山市","美国%20教堂山市",40.6835116151438,122.261387331503
"2015-07-11 09:19:35","中国","河南市","中国%20河南市",34.5113897378692,101.556307295327
"2015-07-11 09:23:53","中国","北京市","中国%20北京市",39.9299857780802,116.395645037879
"2015-07-11 16:51:00","法国","巴黎市","法国%20巴黎市",32.9045251864152,115.83992612058
"2015-07-12 05:28:28","中国","北京市","中国%20北京市",39.9299857780802,116.395645037879
"2015-07-13 00:16:52","美国","波士顿","美国%20波士顿",40.6835116151438,122.261387331503
"2015-07-13 08:37:38","中国","长沙市","中国%20长沙市",28.2134782308532,112.97935278765
"2015-07-19 07:56:32","美国","波士顿","美国%20波士顿",40.6835116151438,122.261387331503
"2015-07-19 17:20:22","中国","重庆市","中国%20重庆市",29.5446061088861,106.530635013413
"2015-07-20 10:21:05","中国","北京市","中国%20北京市",39.9299857780802,116.395645037879
"2015-07-20 16:23:45","中国","福建市","中国%20福建市",26.0501182956607,117.984943119907
"2015-07-21 08:00:56","中国","广州市","中国%20广州市",23.1200491020762,113.307649675152
"2015-07-22 22:04:00","中国","兰州市","中国%20兰州市",36.0642255250426,103.823305440729
"2015-07-23 10:58:31","中国","西安市","中国%20西安市",34.2777998978306,108.953098279196
"2015-07-23 12:09:45","美国","俄亥俄市","美国%20俄亥俄市",40.6835116151438,122.261387331503
"2015-07-23 14:11:34","中国","北京市","中国%20北京市",39.9299857780802,116.395645037879
"2015-07-25 08:19:29","中国","香港","中国%20香港",22.3029036401748,114.191116749848
